No,Job Title,Location,Employee Type,Company Type,Company,Job Function,Job Category,Require
114,"senior Data analyst, Product Analystics",Phnom Penh,Full-time,Private,Remote,Telecommunications,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
115,Senior data Engineer,Phnom Penh,Full-time,Private,Prudential (cambodia) Life  Assurance,Financial Service,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
116,Senior Data Scientist,Phnom Penh,Full-time,Private,Smart Axiata,Human Resources Services,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
117,Software developer,Phnom Penh,Full-time,Public,Ministry Office,Digiltal Government/ technology,Other,"Java, Python, JavaScript, C#, Ruby, PHP, Scala, SQL, NoSQL"
118,Staiscal planning,Phnom Penh,Full-time,Public,Ministry Office,technology /Internet,Other,"Java, Python, JavaScript, C#, Ruby, PHP, Scala, SQL, NoSQL"
119,Lead analyst and Program mananger ,Phnom Penh,Full-time,Private,Braintrust.APJ,technology,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
120,Data Scientist,Phnom Penh,Full-time,Private,Mengly J.Quach Education,Translation and Localization,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
121,Data Analyst,Phnom Penh,Full-time,Private,Aboitiz Data Innovation(ADI),technology,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
122,Digital data Engineer,Phnom Penh,Full-time,Private,Braintrust.APJ,technology,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
123,Senior data Engineer,Phnom Penh,Full-time,Private,PwC,IT Service and IT Consulting,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
124,"Mananger, technology risk  manangement and data governce ",Phnom Penh,Full-time,Private,Bizbaz-intelligent finance.APAC,technology,Other,"Java, Python, JavaScript, C#, Ruby, PHP, Scala, SQL, NoSQL"
125,Data Specialist for Ai models ,Phnom Penh,Full-time,Private,Hyqoo .APAC,Financial Service,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
126,Data Engineer,Phnom Penh,Full-time,Private,Aboitiz Data Innovation(ADI),technology,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
127,Data engineer ,Phnom Penh,Full-time,Private,APAC,technology,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
128,Junior Data analyst,Phnom Penh,Full-time,Private,AccelByte.APAC,technology,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
129,"senior Data analyst, Product Analystics ",Phnom Penh,Full-time,Private,Aboitiz Data Innovation(ADI),technology,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
130,Senior Data Scientist ,Phnom Penh,Full-time,Private,Braintrust.APJ,technology,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
131,Data Analyst lead,Phnom Penh,Full-time,Public,Data Elevates ,technology ,Data Analysis,"Excel, Python, R, SQL, Tableau, Power Bi"
132,ML/Al - Data Scientist Engineer,Phnom Penh,Full-time,Private,Smart axiata,Telecommunication,Data Scientist,"Python, R, SQL, AWS, Azure, Google Clound, MATLAB, Julia, Scala, SAS, Excel, Bash"
133,Lead Data Infrastructure engineer,Phnom Penh,Full-time,Private,Cathay United bank,Financial Service,Data Engineer,"Python, SQL, Scala, Java, R, Apache Spark, Hadoop, Apache Kafka, No SQL, ETL, AWS, Google Clound"
134,Senior Full-stack engineer,Phnom Penh,Full-time,Private,Prudential (cambodia) Life  Assurance ,Humman Resource,Other,"Java, Python, JavaScript, C#, Ruby, PHP, Scala, SQL, NoSQL"
